"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098813","nuclear chromosome segregation","12/19","315/18842",0.0380952380952381,37.7784461152882,20.913679907746,1.75565638438224e-17,1.03232595401676e-13,1.03232595401676e-13,"ZWINT/NUSAP1/UBE2C/PRC1/CCNB1/NEK2/KIF4A/TOP2A/CDK1/DLGAP5/CENPF/CDC20",12
"GO:0000819","sister chromatid segregation","11/19","246/18842",0.0447154471544715,44.3436029097133,21.7403808525235,1.03537135692128e-16,3.04399178934857e-13,3.04399178934857e-13,"ZWINT/NUSAP1/UBE2C/PRC1/CCNB1/KIF4A/TOP2A/CDK1/DLGAP5/CENPF/CDC20",11
"GO:0140014","mitotic nuclear division","11/19","281/18842",0.0391459074733096,38.8203783480052,20.2937683121166,4.5395820867129e-16,7.01814988838477e-13,7.01814988838477e-13,"ZWINT/NUSAP1/UBE2C/PRC1/CCNB1/NEK2/KIF4A/CDK1/DLGAP5/CENPF/CDC20",11
"GO:0007059","chromosome segregation","12/19","420/18842",0.0285714285714286,28.3338345864662,17.9987014095899,5.6367906912352e-16,7.01814988838477e-13,7.01814988838477e-13,"ZWINT/NUSAP1/UBE2C/PRC1/CCNB1/NEK2/KIF4A/TOP2A/CDK1/DLGAP5/CENPF/CDC20",12
"GO:0000280","nuclear division","12/19","422/18842",0.028436018957346,28.199551010227,17.9538462520776,5.96781453093943e-16,7.01814988838477e-13,7.01814988838477e-13,"ZWINT/NUSAP1/UBE2C/PRC1/CCNB1/NEK2/KIF4A/TOP2A/CDK1/DLGAP5/CENPF/CDC20",12
"GO:0044772","mitotic cell cycle phase transition","12/19","434/18842",0.0276497695852535,27.4198399223866,17.6911513504471,8.35661890792741e-16,8.18948652976886e-13,8.18948652976886e-13,"ZWINT/UBE2C/CCNB1/NEK2/FOXM1/CDKN3/CDK1/DLGAP5/RRM2/MELK/CENPF/CDC20",12
"GO:0000070","mitotic sister chromatid segregation","10/19","205/18842",0.0487804878048781,48.3748395378691,21.6681101198024,1.58150553337217e-15,1.32846464803262e-12,1.32846464803262e-12,"ZWINT/NUSAP1/UBE2C/PRC1/CCNB1/KIF4A/CDK1/DLGAP5/CENPF/CDC20",10
"GO:0048285","organelle fission","12/19","470/18842",0.025531914893617,25.3195968645017,16.9633427127383,2.17267523494283e-15,1.59691629768298e-12,1.59691629768298e-12,"ZWINT/NUSAP1/UBE2C/PRC1/CCNB1/NEK2/KIF4A/TOP2A/CDK1/DLGAP5/CENPF/CDC20",12
"GO:0007088","regulation of mitotic nuclear division","8/19","120/18842",0.0666666666666667,66.1122807017544,22.7332623799757,1.52288191025557e-13,9.94949514700307e-11,9.94949514700307e-11,"ZWINT/NUSAP1/UBE2C/CCNB1/NEK2/DLGAP5/CENPF/CDC20",8
"GO:0007346","regulation of mitotic cell cycle","11/19","492/18842",0.0223577235772358,22.1718014548567,15.118429666077,2.15637678922419e-13,1.26794955206382e-10,1.26794955206382e-10,"ZWINT/NUSAP1/UBE2C/CCNB1/NEK2/FOXM1/CDK1/DLGAP5/RRM2/CENPF/CDC20",11
"GO:0051783","regulation of nuclear division","8/19","135/18842",0.0592592592592593,58.7664717348928,21.4005535857145,3.98299659706827e-13,2.12909272643286e-10,2.12909272643286e-10,"ZWINT/NUSAP1/UBE2C/CCNB1/NEK2/DLGAP5/CENPF/CDC20",8
"GO:0033045","regulation of sister chromatid segregation","7/19","115/18842",0.0608695652173913,60.3633867276888,20.2870004526395,1.24381250460345e-11,6.09468127255692e-09,6.09468127255692e-09,"ZWINT/UBE2C/CCNB1/CDK1/DLGAP5/CENPF/CDC20",7
