MCODE::Clusters (1),MCODE::Node Status (1),MCODE::Score (1),name,selected,shared name
Cluster 1,Clustered,15.71929825,NUSAP1,FALSE,NUSAP1
Cluster 1,Clustered,15.71929825,CCNB1,FALSE,CCNB1
Cluster 1,Clustered,15.71929825,TOP2A,FALSE,TOP2A
Cluster 1,Clustered,15.71929825,RRM2,FALSE,RRM2
Cluster 1,Clustered,15.71929825,PRC1,FALSE,PRC1
Cluster 1,Clustered,15.71929825,DLGAP5,FALSE,DLGAP5
Cluster 1,Clustered,15.71929825,KIF20A,FALSE,KIF20A
Cluster 1,Clustered,15.71929825,UBE2C,FALSE,UBE2C
Cluster 1,Clustered,15.71929825,ASPM,FALSE,ASPM
Cluster 1,Seed,16,ZWINT,FALSE,ZWINT
Cluster 1,Clustered,15.71929825,CDC20,FALSE,CDC20
Cluster 1,Clustered,16,FOXM1,FALSE,FOXM1
Cluster 1,Clustered,15.71929825,KIF4A,FALSE,KIF4A
Cluster 1,Clustered,15.71929825,NEK2,FALSE,NEK2
Cluster 1,Clustered,15.71929825,CEP55,FALSE,CEP55
Cluster 1,Clustered,16,CDKN3,FALSE,CDKN3
Cluster 1,Clustered,15.71929825,CDK1,FALSE,CDK1
Cluster 1,Clustered,15.71929825,MELK,FALSE,MELK
Cluster 1,Clustered,15.71929825,CENPF,FALSE,CENPF
